,0,1,2,3,4,indicator
6289,0.4427019348443457,0.39513671347484247,0.5389202014682777,0.5869819074791616,0.49680414301119274,0.0
549,0.3324737091837574,0.13421037520974366,0.45091921496257015,0.7588533436404385,0.4791783738446195,1.0
4707,0.7703626100784791,0.290814666419972,0.43675201500169014,0.6853879027180436,0.8261022628536909,1.0
764,0.37995059534575626,0.6497106655012472,0.6297169961751643,0.24982074104627144,0.3973105201385248,0.0
6861,0.20958998188946235,0.318905951932831,0.6747773452366018,0.5868029899710592,0.5692388210100623,1.0
2304,0.6542066186850951,0.510126175786924,0.4568510057468209,0.7162764398420609,0.5730346966081348,1.0
5849,0.6586190069036149,0.644060082897896,0.4695862841689221,0.6873382401346115,0.5452338255223574,1.0
5549,0.42355755791966054,0.9131783835973601,0.5937818249079934,0.7783225732435013,0.7311085537099153,0.0
1372,0.31999452690624575,0.10442200090596465,0.5825220528673511,0.14999979513262435,0.28034246786806427,0.0
2988,0.7202940789581861,0.3952792008795938,0.5193027700825135,0.6012502373047102,0.4611446568532817,1.0
333,0.5478923597490364,0.6250582178015682,0.6381862752393446,0.23400088229549804,0.6822316536797697,0.0
1259,0.3943852928809849,0.5163786081745236,0.5398886354117278,0.14652387865841915,0.7183816124731603,0.0
2057,0.8114125749614182,0.21021783559505502,0.566722015873387,0.4720294571970593,0.6203907063565839,0.0
1758,0.3294605714097797,0.8732159832587933,0.48566271284817375,0.603063996470818,0.8750718372366295,1.0
3605,0.669837674616355,0.09939666154137339,0.41671361781833405,0.48401419867491785,0.4548002896923749,0.0
1024,0.47432020887017023,0.6275995976325823,0.3181650993840717,0.5919137481032697,0.45454006818685555,1.0
4366,0.581202183834877,0.18775586590871862,0.7325708466302537,0.5944377141717689,0.3278675657991891,0.0
752,0.507121921972005,0.4029841541245851,0.492863779294861,0.7784878329265579,0.619878871857674,1.0
3520,0.42872132204576263,0.2564879619409761,0.8965614748260325,0.17059579530198138,0.47566541008959073,0.0
3989,0.5968264864852169,0.44611530421060897,0.18548964913138594,0.891657937040158,0.47861563221843006,1.0
351,0.3135514564771599,0.12348979301046115,0.3616489527944262,0.4260230735296328,0.49761148328755683,1.0
1511,0.4910654093427824,0.2742202004606382,0.531179108190336,0.5954470274426678,0.6446708022596601,1.0
3794,0.425912984856208,0.6181486420099656,0.3648497811190461,0.6163325735029999,0.734916863825507,1.0
2301,0.31878759815747004,0.48482934474933903,0.492096260845716,0.48038804612520675,0.46050799892850597,1.0
7078,0.5164875481244671,0.0076964465342597155,0.5374436320418754,0.7917263627436386,0.3568667736566563,0.0
3165,0.4892979582776432,0.7622161682797517,0.5281239170229638,0.1631235992193188,0.5027841894365799,1.0
4168,0.5079183686892058,0.5173632599416864,0.43826366491122515,0.4367772449708474,0.5039123827761103,1.0
1790,0.37047647626720914,0.6820659397682347,0.33043051194118384,0.7596782762732166,0.45377794916864894,1.0
7630,0.6719689219884478,0.3043871233919657,0.3317497507159608,0.33229351758649844,0.539530792515037,1.0
5147,0.3432052598075256,0.7232128995761531,0.1683650581379279,0.6415080424102784,0.9372952256819762,1.0
6001,0.9126339792210355,0.3408171120993073,0.7683061654480626,0.2246343458789561,0.10933389618123746,0.0
561,0.3189317660240675,0.25837432504567026,0.5505467240143979,0.4351014298377041,0.4764730160607736,1.0
5818,0.2725434793842887,0.539523241397057,0.4830359287929974,0.5415969548513277,0.6689525454706129,0.0
6466,0.5487374007267705,0.23274147893419417,0.5336336789646792,0.45802745495990754,0.6863942944056947,1.0
1894,0.45372431697904014,0.6361509685953506,0.4522310124227432,0.41759756125875974,0.39891074689311096,1.0
7703,0.09875498861925355,0.40576159517839616,0.46171762549777073,0.45032853898148134,0.6169730739025356,1.0
8331,0.4520296838994735,0.8088457031540757,0.5914314325381048,0.6886493913390268,0.8488458987586898,0.0
2860,0.43649992718201447,0.294519338943509,0.19673241245293366,0.28544171454872497,0.5262389309545783,1.0
6244,0.41823655979648544,0.2645331836152245,0.32470282578606857,0.396949661354228,0.8843923583406892,1.0
8201,0.4778169402822049,0.038752320737021284,0.5712590916918785,0.25216715538917295,0.27231875003553674,0.0
7637,0.4141254266311817,0.09961783602039054,0.41482352390894384,0.6840221202134444,0.6630844097028985,0.0
4717,0.5683960546745623,0.356073897796124,0.5662510869634546,0.3095327521473516,0.9074706634394314,0.0
6835,0.5491900173588682,0.6786356086657861,0.4552521861519261,0.25228871003208225,0.6852773665264809,1.0
1047,0.30427406340802265,0.3506508697048383,0.28466217494743234,0.445197294111702,0.3095043340935925,1.0
2680,0.5699893885403283,0.835116552570409,0.7971040529651512,0.1980548525569497,0.3936096570076504,0.0
2874,0.3461530669291246,0.42239646801370423,0.8195630034846612,0.26526091226076615,0.3897829608105988,0.0
414,0.568264072075712,0.5693328824776644,0.35377178976372764,0.4499761670952948,0.24585241088555926,1.0
2842,0.3952686513874175,0.2901490163052378,0.6098986492950949,0.5272316544679525,0.4061228733321739,1.0
7609,0.3307372351245774,0.5387257372659857,0.4762547650989588,0.197061928676106,0.3467396562217251,1.0
3886,0.22015534307841564,0.6302643247692021,0.7472132276808398,0.6155158355652497,0.2136518992954996,0.0
5270,0.778904189148241,0.6280228064914708,0.4963080449115227,0.4858935154012464,0.5281277022823663,1.0
4239,0.5689254531745118,0.6195862761235769,0.5699749334002343,0.397975364015182,0.33785971026617684,1.0
3686,0.6425196256215955,0.23685022021747404,0.2735650487831324,0.636069496476964,0.552293868247147,1.0
5324,0.3372177422196332,0.7057762692544081,0.6937261213529585,0.5056386330702383,0.48187847087105345,1.0
3319,0.21325613256631723,0.32487553618861087,0.6862837437041163,0.6194465576134862,0.08350501204049211,0.0
3128,0.5166290734028784,0.4589200305390915,0.821076779484083,0.23682258895000002,0.7583860591416474,0.0
2465,0.5841417695710082,0.2458630802374222,0.43680197811403065,0.2265969753380654,0.7544508531806036,0.0
4898,0.1426336973449623,0.4973916298219756,0.5638018314138284,0.2504585614759192,0.4169073197487824,0.0
6845,0.45578671024783945,0.6895029316251857,0.5546171231027305,0.39267749367984145,0.300599040852332,1.0
1583,0.46596126200615906,0.4099979371226474,0.5336283637399621,0.4284773846903977,0.8605893440542256,1.0
1412,0.5819133336778486,0.38584738535612284,0.48517690130903346,0.32128121325191444,0.41386793043875836,1.0
6340,0.4923891992135657,0.7631114995842343,0.22620108132931638,0.539247808943417,0.8872377904329991,1.0
7550,0.4508433086143677,0.5339789926778487,0.4390853986524842,0.7979748177021804,0.7056585503807593,1.0
3567,0.19109759019447106,0.292018365988469,0.48148388317561286,0.40369116379693,0.3460089954700628,1.0
2227,0.851239168324646,0.5147474463917723,0.36363153161389355,0.5754547031403439,0.6600739279891583,1.0
7607,0.8434821443252475,0.4037837849333392,0.43340342342993576,0.5479478434977145,0.682377413857356,1.0
7082,0.1540504123612054,0.18539738035843034,0.4547823202869371,0.6481307217750802,0.6436673792070318,1.0
1507,0.4739715340400593,0.0950539857129794,0.08333740833894974,0.449835491497321,0.6039108258044722,1.0
6977,0.5349011026052396,0.6639147457450496,0.467173172147372,0.9877325415436895,0.6387149872017464,0.0
4604,0.4943859682090769,0.5158788389190523,0.4662844665746778,0.28606724293583147,0.9468001389902736,1.0
4619,0.7061626918225403,0.39806940199950236,0.29790558885248547,0.6928519041056789,0.5242952139382653,1.0
842,0.44924938750678256,0.7261604748445929,0.14928659053847476,0.39026415599421455,0.5347926036726571,1.0
1146,0.25366027825866366,0.5118487847100381,0.6620792733875203,0.5339622306506178,0.038489454811767715,1.0
4698,0.9667819324483992,0.5645755045011134,0.5054162139866949,0.4888900422163373,0.22436195116284793,1.0
7292,0.595281893690439,0.18375558518726454,0.49168061027284116,0.548940767378558,0.41349175971432073,1.0
7586,0.7410887522050931,0.4149828696112645,0.40447690747469417,0.4577747851965566,0.4406724990930508,1.0
7169,0.14009886803266944,0.6179912678614341,0.49451468809198307,0.4709026866307648,0.5431856373032975,1.0
1253,0.4937708324035338,0.619928671230517,0.556969641562506,0.37065834814069193,0.6106533100818484,1.0
463,0.5404387929596753,0.1435783904027289,0.6213954803581185,0.6055251365441059,0.37056095031172115,0.0
3187,0.1983535501116934,0.5789390855711298,0.38235175306741614,0.30298519082030256,0.278029700748457,1.0
